system:time_start,EVI,NDVI
"Jun 9, 2016","4,333.803","5,395.672"
"Jun 25, 2016","3,522.486","4,626.805"
"Jul 11, 2016","4,169","5,925.077"
"Jul 27, 2016","3,208.667","3,675.641"
"Aug 12, 2016","2,472.296","2,855.504"
"Aug 28, 2016","3,330.412","4,011.592"
"Sep 13, 2016","5,082.632","6,415.713"
"Sep 29, 2016","4,519.311","5,474.998"
"Oct 15, 2016","4,759.387","6,507.891"
"Oct 31, 2016","4,820.513","6,455.285"
"Nov 16, 2016","3,996.747","5,622.991"
"Dec 2, 2016","4,493.965","6,391.12"
"Dec 18, 2016","3,647.866","6,161.963"
"Jan 1, 2017","3,382.522","5,357.322"
"Jan 17, 2017","4,412.489","7,079.526"
"Feb 2, 2017","4,576.267","6,969.573"
"Feb 18, 2017","3,642.906","4,936.55"
"Mar 6, 2017","3,971.011","5,728.374"
"Mar 22, 2017","4,947.315","6,213.611"
"Apr 7, 2017","4,430.446","6,492.676"
"Apr 23, 2017","5,408.482","7,465.879"
"May 9, 2017","4,949.585","7,015.874"
"May 25, 2017","5,334.068","7,099.373"
"Jun 10, 2017","3,706.811","4,643.133"
"Jun 26, 2017","3,653.225","4,545.866"
"Jul 12, 2017","2,816.831","3,651.078"
"Jul 28, 2017","2,891.7","3,655.779"
"Aug 13, 2017","3,319.739","3,893.454"
"Aug 29, 2017","3,858.074","4,798.517"
"Sep 14, 2017","4,659.411","6,587.11"
"Sep 30, 2017","4,148.248","6,113.726"
"Oct 16, 2017","4,369.22","6,268.567"
"Nov 1, 2017","4,126.968","6,054.451"
"Nov 17, 2017","4,946.248","7,115.54"
"Dec 3, 2017","3,520.475","5,309.877"
"Dec 19, 2017","3,797.625","6,266.215"
"Jan 1, 2018","3,957.916","5,782.546"
"Jan 17, 2018","4,045.802","5,771.972"
"Feb 2, 2018","3,610.291","5,519.532"
"Feb 18, 2018","3,942.439","6,242.918"
"Mar 6, 2018","4,836.338","6,683.777"
"Mar 22, 2018","3,988.787","5,348.799"
"Apr 7, 2018","4,684.671","6,294.383"
"Apr 23, 2018","4,786.025","6,744.219"
"May 9, 2018","5,075.326","6,757.641"
"May 25, 2018","5,018.536","6,694.514"
"Jun 10, 2018","4,771.297","6,868.042"
"Jun 26, 2018","3,583.554","5,183.695"
"Jul 12, 2018","2,814.859","4,138.941"
"Jul 28, 2018","4,758.453","7,140.659"
"Aug 13, 2018","3,343.041","4,543.631"
"Aug 29, 2018","2,709.568","3,568.537"
"Sep 14, 2018","3,139.746","3,967.978"
"Sep 30, 2018","4,107.21","5,835.802"
"Oct 16, 2018","5,379.793","7,308.322"
"Nov 1, 2018","4,820.304","6,794.659"
"Nov 17, 2018","4,120.707","6,333.887"
"Dec 3, 2018","3,837.31","5,742.487"
"Dec 19, 2018","3,801.063","6,543.73"
"Jan 1, 2019","3,800.72","6,543.497"
"Jan 17, 2019","3,620.801","5,760.571"
"Feb 2, 2019","3,863.285","6,193.33"
"Feb 18, 2019","3,844.981","6,335.375"
"Mar 6, 2019","4,354.023","5,931.621"
"Mar 22, 2019","4,663.273","6,583.027"
"Apr 7, 2019","4,587.16","7,486.241"
"Apr 23, 2019","4,785.96","6,455.969"
"May 9, 2019","4,873.622","6,851.428"
"May 25, 2019","4,601.77","6,571.221"
"Jun 10, 2019","3,828.254","5,402.34"
"Jun 26, 2019","3,212.33","4,380.098"
"Jul 12, 2019","3,032.842","4,135.096"
"Jul 28, 2019","2,673.361","3,810.936"
"Aug 13, 2019","3,950.238","5,950.099"
"Aug 29, 2019","3,440.966","4,224.464"
"Sep 14, 2019","2,828.878","3,888.678"
